Translator,Poem ID,OP>,Exact(E),Field(F),Group(G),Total(T),Unmatch(U),CT,Original(W),Annotation(A),FG-paraphrase(P1),U-paraphrase(P2),Pure-addition,Gap
kaneko,0435,16,0.62,0.12,0.12,0.88,0.12,35,0.29,0.71,0.11,0.07,0.53,0.02
kaneko,0436,17,0.53,0.24,0.24,1.00,0.00,39,0.23,0.77,0.21,0.00,0.56,0.00
kaneko,0437,20,0.80,0.15,0.00,0.95,0.05,30,0.53,0.47,0.10,0.02,0.35,0.02
kaneko,0438,17,0.65,0.12,0.18,0.94,0.06,29,0.38,0.62,0.17,0.03,0.42,0.01
kaneko,0439,15,0.67,0.13,0.13,0.93,0.07,27,0.37,0.63,0.15,0.03,0.45,0.00
kaneko,0440,18,0.72,0.06,0.00,0.78,0.22,46,0.30,0.70,0.02,0.15,0.52,0.08
kaneko,0441,17,0.41,0.35,0.00,0.76,0.24,28,0.25,0.75,0.25,0.12,0.38,0.01
kaneko,0442,19,0.47,0.11,0.00,0.58,0.42,31,0.29,0.71,0.06,0.27,0.37,0.01
kaneko,0443,16,0.50,0.25,0.06,0.81,0.19,30,0.23,0.77,0.20,0.11,0.46,0.01
kaneko,0444,17,0.41,0.00,0.12,0.53,0.47,41,0.17,0.83,0.07,0.36,0.40,0.19
kaneko,0445,20,0.30,0.45,0.00,0.75,0.25,61,0.10,0.90,0.15,0.19,0.57,0.11
kaneko,0446,18,0.56,0.17,0.06,0.78,0.22,24,0.42,0.58,0.17,0.09,0.32,0.07
kaneko,0447,18,0.67,0.17,0.06,0.89,0.11,31,0.39,0.61,0.16,0.05,0.40,0.02
kaneko,0448,17,0.65,0.24,0.12,1.00,0.00,53,0.23,0.77,0.13,0.00,0.64,0.04
kaneko,0449,14,0.50,0.14,0.00,0.64,0.36,38,0.18,0.82,0.05,0.27,0.49,0.14
kaneko,0450,14,0.57,0.14,0.00,0.71,0.29,20,0.40,0.60,0.10,0.14,0.36,0.06
kaneko,0451,13,0.69,0.08,0.08,0.85,0.15,30,0.30,0.70,0.10,0.09,0.51,0.06
kaneko,0452,13,0.69,0.15,0.00,0.85,0.15,30,0.30,0.70,0.07,0.10,0.54,0.03
kaneko,0453,20,0.85,0.10,0.00,0.95,0.05,40,0.42,0.57,0.07,0.02,0.47,0.03
kaneko,0454,16,0.38,0.25,0.12,0.75,0.25,27,0.22,0.78,0.22,0.14,0.42,0.01
kaneko,0455,15,0.53,0.13,0.20,0.87,0.13,33,0.24,0.76,0.12,0.08,0.55,0.01
kaneko,0456,16,0.50,0.12,0.12,0.75,0.25,32,0.25,0.75,0.12,0.16,0.47,0.03
kaneko,0457,18,0.67,0.22,0.06,0.94,0.06,32,0.38,0.62,0.16,0.03,0.44,0.01
kaneko,0458,16,0.62,0.31,0.00,0.94,0.06,47,0.21,0.79,0.13,0.04,0.62,0.04
kaneko,0459,19,0.74,0.16,0.05,0.95,0.05,53,0.26,0.74,0.08,0.03,0.63,0.02
kaneko,0460,15,0.53,0.20,0.07,0.80,0.20,33,0.24,0.76,0.12,0.13,0.51,0.04
kaneko,0461,15,0.53,0.20,0.13,0.87,0.13,28,0.29,0.71,0.21,0.07,0.43,0.03
kaneko,0462,17,0.47,0.06,0.12,0.65,0.35,30,0.27,0.73,0.10,0.22,0.41,0.02
kaneko,0463,17,0.53,0.18,0.12,0.82,0.18,48,0.19,0.81,0.12,0.12,0.57,0.08
kaneko,0464,18,0.39,0.39,0.00,0.78,0.22,41,0.17,0.83,0.17,0.15,0.51,0.05
kaneko,0465,14,0.50,0.43,0.00,0.93,0.07,48,0.15,0.85,0.15,0.05,0.66,0.05
kaneko,0466,16,0.50,0.31,0.00,0.81,0.19,41,0.20,0.80,0.15,0.12,0.54,0.07
kaneko,0467,17,0.59,0.18,0.18,0.94,0.06,38,0.26,0.74,0.18,0.03,0.52,0.03
kaneko,0468,18,0.44,0.22,0.11,0.78,0.22,45,0.18,0.82,0.16,0.15,0.52,0.08
