Translator,PoemID,opN,ctN,TotalMatch,Unmatch,ExactMatch,FieldMatch,GroupMatch,AdditionRate,UnmatchRate,TotalMatch_a,Unmatch_a,ExactMatch_a,FieldMatch_a,GroupMatch_a,AdditionRate_a,UnmatchRate_a
okumura,0390,17,42,13,4,7,0,6,0.6904761904761905,0.23529411764705882,7,10,6,0,1,0.8333333333333334,0.5882352941176471
ozawa,0390,17,36,15,2,7,2,6,0.5833333333333333,0.11764705882352941,8,9,6,2,0,0.7777777777777778,0.5294117647058824
takeoka,0390,17,37,15,2,11,1,3,0.5945945945945945,0.11764705882352941,11,6,9,1,1,0.7027027027027026,0.35294117647058826
kaneko,0391,18,51,11,7,8,0,3,0.7843137254901961,0.3888888888888889,7,11,5,0,2,0.8627450980392157,0.6111111111111112
katagiri,0391,18,34,13,5,6,1,6,0.6176470588235294,0.2777777777777778,7,11,4,1,2,0.7941176470588236,0.6111111111111112
kojimaarai,0391,18,42,11,7,6,0,5,0.7380952380952381,0.3888888888888889,6,12,4,0,2,0.8571428571428572,0.6666666666666666
komachiya,0391,18,30,13,5,7,1,5,0.5666666666666667,0.2777777777777778,9,9,6,1,2,0.7,0.5
kubota,0391,18,41,13,5,9,1,3,0.6829268292682926,0.2777777777777778,10,8,6,1,3,0.7560975609756098,0.4444444444444444
kyusojin,0391,18,36,13,5,9,0,4,0.6388888888888888,0.2777777777777778,10,8,6,0,4,0.7222222222222222,0.4444444444444444
matsuda,0391,18,35,13,5,7,1,5,0.6285714285714286,0.2777777777777778,6,12,5,1,0,0.8285714285714285,0.6666666666666666
okumura,0391,18,32,13,5,7,0,6,0.59375,0.2777777777777778,7,11,6,0,1,0.78125,0.6111111111111112
ozawa,0391,18,40,12,6,6,1,5,0.7,0.3333333333333333,7,11,4,1,2,0.825,0.6111111111111112
takeoka,0391,18,26,11,7,6,0,5,0.5769230769230769,0.3888888888888889,6,12,5,0,1,0.7692307692307692,0.6666666666666666
kaneko,0392,18,46,14,4,11,2,1,0.6956521739130435,0.2222222222222222,12,6,9,2,1,0.7391304347826086,0.3333333333333333
katagiri,0392,18,36,13,5,7,2,4,0.6388888888888888,0.2777777777777778,12,6,6,2,4,0.6666666666666667,0.3333333333333333
kojimaarai,0392,18,40,13,5,8,2,3,0.675,0.2777777777777778,12,6,7,2,3,0.7,0.3333333333333333
komachiya,0392,18,32,12,6,7,3,2,0.625,0.3333333333333333,9,9,5,4,0,0.71875,0.5
kubota,0392,18,34,13,5,8,2,3,0.6176470588235294,0.2777777777777778,11,7,7,2,2,0.6764705882352942,0.3888888888888889
kyusojin,0392,18,37,12,6,9,2,1,0.6756756756756757,0.3333333333333333,10,8,7,3,0,0.7297297297297297,0.4444444444444444
matsuda,0392,18,27,12,6,7,2,3,0.5555555555555556,0.3333333333333333,10,8,7,2,1,0.6296296296296297,0.4444444444444444
okumura,0392,18,41,14,4,7,4,3,0.6585365853658536,0.2222222222222222,12,6,6,4,2,0.7073170731707317,0.3333333333333333
ozawa,0392,18,41,11,7,6,2,3,0.7317073170731707,0.3888888888888889,9,9,4,2,3,0.7804878048780488,0.5
takeoka,0392,18,28,13,5,10,2,1,0.5357142857142857,0.2777777777777778,10,8,7,3,0,0.6428571428571428,0.4444444444444444
kaneko,0393,18,63,16,2,8,3,5,0.746031746031746,0.1111111111111111,12,6,7,2,3,0.8095238095238095,0.3333333333333333
katagiri,0393,18,33,14,4,8,3,3,0.5757575757575757,0.2222222222222222,11,7,6,3,2,0.6666666666666667,0.3888888888888889
kojimaarai,0393,18,35,13,5,7,2,4,0.6285714285714286,0.2777777777777778,12,6,7,2,3,0.6571428571428571,0.3333333333333333
komachiya,0393,18,56,15,3,8,3,4,0.7321428571428572,0.16666666666666666,13,5,7,3,3,0.7678571428571428,0.2777777777777778
kubota,0393,18,30,13,5,8,1,4,0.5666666666666667,0.2777777777777778,11,7,6,2,3,0.6333333333333333,0.3888888888888889
kyusojin,0393,18,39,15,3,11,3,1,0.6153846153846154,0.16666666666666666,13,5,9,3,1,0.6666666666666667,0.2777777777777778
matsuda,0393,18,25,15,3,8,3,4,0.4,0.16666666666666666,13,5,8,3,2,0.48,0.2777777777777778
okumura,0393,18,55,14,4,7,3,4,0.7454545454545455,0.2222222222222222,9,9,5,2,2,0.8363636363636364,0.5
ozawa,0393,18,46,17,1,9,5,3,0.6304347826086957,0.05555555555555555,12,6,7,4,1,0.7391304347826086,0.3333333333333333
takeoka,0393,18,48,13,5,8,2,3,0.7291666666666667,0.2777777777777778,11,7,6,3,2,0.7708333333333334,0.3888888888888889
kaneko,0394,15,41,12,3,9,3,0,0.7073170731707317,0.2,10,5,6,3,1,0.7560975609756098,0.3333333333333333
katagiri,0394,15,47,13,2,8,4,1,0.7234042553191489,0.13333333333333333,13,2,8,4,1,0.7234042553191489,0.13333333333333333
kojimaarai,0394,15,22,13,2,8,4,1,0.40909090909090906,0.13333333333333333,13,2,6,4,3,0.40909090909090906,0.13333333333333333
komachiya,0394,15,29,10,5,6,1,3,0.6551724137931034,0.3333333333333333,9,6,5,0,4,0.6896551724137931,0.4
kubota,0394,15,32,12,3,8,3,1,0.625,0.2,12,3,7,3,2,0.625,0.2
kyusojin,0394,15,38,11,4,7,2,2,0.7105263157894737,0.26666666666666666,10,5,6,2,2,0.736842105263158,0.3333333333333333
matsuda,0394,15,33,11,4,7,3,1,0.6666666666666667,0.26666666666666666,10,5,5,3,2,0.696969696969697,0.3333333333333333
okumura,0394,15,35,9,6,6,2,1,0.7428571428571429,0.4,9,6,5,2,2,0.7428571428571429,0.4
ozawa,0394,15,41,8,7,5,1,2,0.8048780487804879,0.4666666666666667,8,7,3,1,4,0.8048780487804879,0.4666666666666667
takeoka,0394,15,29,11,4,7,3,1,0.6206896551724138,0.26666666666666666,11,4,7,3,1,0.6206896551724138,0.26666666666666666
kaneko,0395,18,59,15,3,9,2,4,0.7457627118644068,0.16666666666666666,11,7,8,2,1,0.8135593220338984,0.3888888888888889
katagiri,0395,18,38,11,7,5,2,4,0.7105263157894737,0.3888888888888889,7,11,4,2,1,0.8157894736842105,0.6111111111111112
kojimaarai,0395,18,49,13,5,5,5,3,0.7346938775510203,0.2777777777777778,9,9,4,3,2,0.8163265306122449,0.5
komachiya,0395,18,36,11,7,5,2,4,0.6944444444444444,0.3888888888888889,7,11,4,2,1,0.8055555555555556,0.6111111111111112
kubota,0395,18,41,13,5,6,5,2,0.6829268292682926,0.2777777777777778,9,9,5,4,0,0.7804878048780488,0.5
kyusojin,0395,18,47,15,3,7,3,5,0.6808510638297872,0.16666666666666666,8,10,5,2,1,0.8297872340425532,0.5555555555555556
matsuda,0395,18,33,13,5,7,2,4,0.6060606060606061,0.2777777777777778,8,10,4,2,2,0.7575757575757576,0.5555555555555556
okumura,0395,18,42,13,5,4,3,6,0.6904761904761905,0.2777777777777778,6,12,3,3,0,0.8571428571428572,0.6666666666666666
ozawa,0395,18,40,13,5,7,3,3,0.675,0.2777777777777778,8,10,4,3,1,0.8,0.5555555555555556
takeoka,0395,18,28,11,7,5,1,5,0.6071428571428572,0.3888888888888889,5,13,3,1,1,0.8214285714285714,0.7222222222222222
kaneko,0396,16,32,13,3,9,0,4,0.59375,0.1875,10,6,9,0,1,0.6875,0.375
katagiri,0396,16,41,13,3,8,1,4,0.6829268292682926,0.1875,9,7,7,1,1,0.7804878048780488,0.4375
kojimaarai,0396,16,34,13,3,7,1,5,0.6176470588235294,0.1875,8,8,7,1,0,0.7647058823529411,0.5
komachiya,0396,16,36,13,3,9,0,4,0.6388888888888888,0.1875,11,5,6,0,5,0.6944444444444444,0.3125
kubota,0396,16,42,14,2,10,1,3,0.6666666666666667,0.125,11,5,9,1,1,0.7380952380952381,0.3125
kyusojin,0396,16,35,14,2,8,1,5,0.6,0.125,9,7,8,1,0,0.7428571428571429,0.4375
matsuda,0396,16,34,11,5,6,1,4,0.6764705882352942,0.3125,8,8,5,1,2,0.7647058823529411,0.5
okumura,0396,16,42,13,3,8,1,4,0.6904761904761905,0.1875,10,6,5,1,4,0.7619047619047619,0.375
ozawa,0396,16,44,12,4,8,0,4,0.7272727272727273,0.25,8,8,5,0,3,0.8181818181818181,0.5
takeoka,0396,16,29,14,2,9,0,5,0.5172413793103448,0.125,9,7,9,0,0,0.6896551724137931,0.4375
kaneko,0397,19,34,15,4,12,0,3,0.5588235294117647,0.21052631578947367,10,9,9,1,0,0.7058823529411764,0.47368421052631576
katagiri,0397,19,32,17,2,15,0,2,0.46875,0.10526315789473684,13,6,10,0,3,0.59375,0.3157894736842105
kojimaarai,0397,19,31,16,3,10,1,5,0.4838709677419355,0.15789473684210525,11,8,7,1,3,0.6451612903225806,0.42105263157894735
komachiya,0397,19,39,18,1,15,1,2,0.5384615384615384,0.05263157894736842,13,6,9,0,4,0.6666666666666667,0.3157894736842105
kubota,0397,19,31,18,1,14,0,4,0.4193548387096774,0.05263157894736842,12,7,10,1,1,0.6129032258064516,0.3684210526315789
kyusojin,0397,19,42,16,3,11,0,5,0.6190476190476191,0.15789473684210525,11,8,10,0,1,0.7380952380952381,0.42105263157894735
matsuda,0397,19,30,18,1,13,0,5,0.4,0.05263157894736842,11,8,11,0,0,0.6333333333333333,0.42105263157894735
okumura,0397,19,41,15,4,10,1,4,0.6341463414634146,0.21052631578947367,10,9,6,1,3,0.7560975609756098,0.47368421052631576
ozawa,0397,19,50,15,4,11,1,3,0.7,0.21052631578947367,11,8,6,1,4,0.78,0.42105263157894735
takeoka,0397,19,31,18,1,11,3,4,0.4193548387096774,0.05263157894736842,14,5,10,3,1,0.5483870967741935,0.2631578947368421
kaneko,0398,19,52,17,2,9,2,6,0.6730769230769231,0.10526315789473684,10,9,6,2,2,0.8076923076923077,0.47368421052631576
katagiri,0398,19,44,15,4,6,1,8,0.6590909090909092,0.21052631578947367,11,8,6,1,4,0.75,0.42105263157894735
kojimaarai,0398,19,44,14,5,6,3,5,0.6818181818181819,0.2631578947368421,12,7,6,3,3,0.7272727272727273,0.3684210526315789
komachiya,0398,19,35,18,1,8,2,8,0.48571428571428577,0.05263157894736842,13,6,8,2,3,0.6285714285714286,0.3157894736842105
kubota,0398,19,27,14,5,8,2,4,0.4814814814814815,0.2631578947368421,9,10,6,2,1,0.6666666666666667,0.5263157894736842
kyusojin,0398,19,34,13,6,6,1,6,0.6176470588235294,0.3157894736842105,8,11,5,1,2,0.7647058823529411,0.5789473684210527
matsuda,0398,19,30,14,5,6,2,6,0.5333333333333333,0.2631578947368421,9,10,6,2,1,0.7,0.5263157894736842
okumura,0398,19,30,15,4,5,2,8,0.5,0.21052631578947367,10,9,4,2,4,0.6666666666666667,0.47368421052631576
ozawa,0398,19,39,15,4,7,2,6,0.6153846153846154,0.21052631578947367,12,7,7,2,3,0.6923076923076923,0.3684210526315789
takeoka,0398,19,45,19,0,10,3,6,0.5777777777777777,0.0,15,4,10,3,2,0.6666666666666667,0.21052631578947367
kaneko,0399,17,53,14,3,10,2,2,0.7358490566037736,0.17647058823529413,11,6,8,2,1,0.7924528301886793,0.35294117647058826
katagiri,0399,17,48,12,5,8,3,1,0.75,0.29411764705882354,7,10,4,2,1,0.8541666666666666,0.5882352941176471
kojimaarai,0399,17,44,14,3,7,2,5,0.6818181818181819,0.17647058823529413,8,9,6,1,1,0.8181818181818181,0.5294117647058824
komachiya,0399,17,40,9,8,4,1,4,0.775,0.47058823529411764,4,13,3,0,1,0.9,0.7647058823529411
kubota,0399,17,35,13,4,10,1,2,0.6285714285714286,0.23529411764705882,11,6,10,1,0,0.6857142857142857,0.35294117647058826
kyusojin,0399,17,39,13,4,11,1,1,0.6666666666666667,0.23529411764705882,9,8,9,0,0,0.7692307692307692,0.47058823529411764
matsuda,0399,17,49,12,5,7,3,2,0.7551020408163265,0.29411764705882354,9,8,4,2,3,0.8163265306122449,0.47058823529411764
okumura,0399,17,46,9,8,5,2,2,0.8043478260869565,0.47058823529411764,4,13,3,0,1,0.9130434782608696,0.7647058823529411
ozawa,0399,17,51,13,4,7,2,4,0.7450980392156863,0.23529411764705882,9,8,6,2,1,0.8235294117647058,0.47058823529411764
takeoka,0399,17,27,10,7,6,3,1,0.6296296296296297,0.4117647058823529,9,8,6,2,1,0.6666666666666667,0.47058823529411764
kaneko,0400,17,43,14,3,9,0,5,0.6744186046511628,0.17647058823529413,12,5,8,0,4,0.7209302325581395,0.29411764705882354
katagiri,0400,17,29,14,3,7,1,6,0.5172413793103448,0.17647058823529413,9,8,7,1,1,0.6896551724137931,0.47058823529411764
kojimaarai,0400,17,32,9,8,3,0,6,0.71875,0.47058823529411764,4,13,1,0,3,0.875,0.7647058823529411
komachiya,0400,17,32,16,1,10,1,5,0.5,0.058823529411764705,11,6,9,1,1,0.65625,0.35294117647058826
kubota,0400,17,31,16,1,11,1,4,0.4838709677419355,0.058823529411764705,12,5,11,1,0,0.6129032258064516,0.29411764705882354
kyusojin,0400,17,30,13,4,6,1,6,0.5666666666666667,0.23529411764705882,7,10,6,1,0,0.7666666666666666,0.5882352941176471
matsuda,0400,17,31,12,5,8,0,4,0.6129032258064516,0.29411764705882354,9,8,7,0,2,0.7096774193548387,0.47058823529411764
okumura,0400,17,37,10,7,3,0,7,0.7297297297297297,0.4117647058823529,4,13,3,0,1,0.8918918918918919,0.7647058823529411
ozawa,0400,17,37,15,2,9,0,6,0.5945945945945945,0.11764705882352941,10,7,6,0,4,0.7297297297297297,0.4117647058823529
takeoka,0400,17,25,9,8,5,0,4,0.64,0.47058823529411764,6,11,4,0,2,0.76,0.6470588235294118
kaneko,0401,16,33,15,1,12,3,0,0.5454545454545454,0.0625,13,3,11,2,0,0.6060606060606061,0.1875
katagiri,0401,16,30,12,4,11,1,0,0.6,0.25,9,7,9,0,0,0.7,0.4375
kojimaarai,0401,16,25,14,2,9,3,2,0.43999999999999995,0.125,12,4,9,2,1,0.52,0.25
komachiya,0401,16,31,12,4,11,1,0,0.6129032258064516,0.25,9,7,8,0,1,0.7096774193548387,0.4375
kubota,0401,16,24,12,4,11,1,0,0.5,0.25,11,5,10,1,0,0.5416666666666667,0.3125
kyusojin,0401,16,27,14,2,8,3,3,0.4814814814814815,0.125,10,6,7,1,2,0.6296296296296297,0.375
matsuda,0401,16,26,11,5,10,1,0,0.5769230769230769,0.3125,8,8,7,0,1,0.6923076923076923,0.5
okumura,0401,16,41,11,5,8,1,2,0.7317073170731707,0.3125,8,8,7,1,0,0.8048780487804879,0.5
ozawa,0401,16,31,14,2,10,1,3,0.5483870967741935,0.125,6,10,5,0,1,0.8064516129032258,0.625
takeoka,0401,16,23,14,2,10,3,1,0.3913043478260869,0.125,13,3,10,1,2,0.4347826086956522,0.1875
kaneko,0402,17,48,11,6,8,2,1,0.7708333333333334,0.35294117647058826,9,8,6,1,2,0.8125,0.47058823529411764
katagiri,0402,17,35,10,7,9,0,1,0.7142857142857143,0.4117647058823529,9,8,9,0,0,0.7428571428571429,0.47058823529411764
kojimaarai,0402,17,46,12,5,10,2,0,0.7391304347826086,0.29411764705882354,10,7,9,1,0,0.782608695652174,0.4117647058823529
komachiya,0402,17,27,9,8,7,2,0,0.6666666666666667,0.47058823529411764,8,9,7,1,0,0.7037037037037037,0.5294117647058824
kubota,0402,17,39,11,6,7,2,2,0.717948717948718,0.35294117647058826,10,7,7,1,2,0.7435897435897436,0.4117647058823529
kyusojin,0402,17,46,9,8,7,2,0,0.8043478260869565,0.47058823529411764,8,9,7,1,0,0.8260869565217391,0.5294117647058824
matsuda,0402,17,36,11,6,8,3,0,0.6944444444444444,0.35294117647058826,8,9,7,1,0,0.7777777777777778,0.5294117647058824
okumura,0402,17,29,9,8,7,2,0,0.6896551724137931,0.47058823529411764,8,9,7,1,0,0.7241379310344828,0.5294117647058824
ozawa,0402,17,44,11,6,8,3,0,0.75,0.35294117647058826,9,8,6,2,1,0.7954545454545454,0.47058823529411764
takeoka,0402,17,26,12,5,11,0,1,0.5384615384615384,0.29411764705882354,11,6,10,0,1,0.5769230769230769,0.35294117647058826
kaneko,0403,15,42,13,2,8,4,1,0.6904761904761905,0.13333333333333333,12,3,8,4,0,0.7142857142857143,0.2
katagiri,0403,15,30,9,6,6,1,2,0.7,0.4,8,7,5,1,2,0.7333333333333334,0.4666666666666667
kojimaarai,0403,15,30,13,2,8,3,2,0.5666666666666667,0.13333333333333333,12,3,8,3,1,0.6,0.2
komachiya,0403,15,29,12,3,8,3,1,0.5862068965517242,0.2,11,4,6,3,2,0.6206896551724138,0.26666666666666666
kubota,0403,15,29,8,7,7,1,0,0.7241379310344828,0.4666666666666667,8,7,5,1,2,0.7241379310344828,0.4666666666666667
kyusojin,0403,15,36,12,3,8,3,1,0.6666666666666667,0.2,11,4,6,3,2,0.6944444444444444,0.26666666666666666
matsuda,0403,15,24,10,5,7,1,2,0.5833333333333333,0.3333333333333333,9,6,6,1,2,0.625,0.4
okumura,0403,15,33,11,4,8,2,1,0.6666666666666667,0.26666666666666666,10,5,6,2,2,0.696969696969697,0.3333333333333333
ozawa,0403,15,37,11,4,6,2,3,0.7027027027027026,0.26666666666666666,11,4,5,2,4,0.7027027027027026,0.26666666666666666
takeoka,0403,15,28,12,3,8,2,2,0.5714285714285714,0.2,11,4,8,2,1,0.6071428571428572,0.26666666666666666
kaneko,0404,18,44,15,3,10,0,5,0.6590909090909092,0.16666666666666666,9,9,6,0,3,0.7954545454545454,0.5
katagiri,0404,18,38,16,2,11,1,4,0.5789473684210527,0.1111111111111111,11,7,8,1,2,0.7105263157894737,0.3888888888888889
kojimaarai,0404,18,30,13,5,9,0,4,0.5666666666666667,0.2777777777777778,10,8,7,0,3,0.6666666666666667,0.4444444444444444
komachiya,0404,18,39,16,2,9,1,6,0.5897435897435898,0.1111111111111111,12,6,7,0,5,0.6923076923076923,0.3333333333333333
kubota,0404,18,35,15,3,12,0,3,0.5714285714285714,0.16666666666666666,13,5,9,0,4,0.6285714285714286,0.2777777777777778
kyusojin,0404,18,10,4,14,3,0,1,0.6,0.7777777777777778,3,15,2,0,1,0.7,0.8333333333333334
matsuda,0404,18,50,16,2,8,1,7,0.6799999999999999,0.1111111111111111,11,7,6,0,5,0.78,0.3888888888888889
okumura,0404,18,36,14,4,9,0,5,0.6111111111111112,0.2222222222222222,12,6,8,0,4,0.6666666666666667,0.3333333333333333
ozawa,0404,18,43,14,4,9,0,5,0.6744186046511628,0.2222222222222222,8,10,4,0,4,0.813953488372093,0.5555555555555556
takeoka,0404,18,37,13,5,10,0,3,0.6486486486486487,0.2777777777777778,12,6,10,0,2,0.6756756756756757,0.3333333333333333
kaneko,0405,19,52,17,2,8,1,8,0.6730769230769231,0.10526315789473684,10,9,6,1,3,0.8076923076923077,0.47368421052631576
katagiri,0405,19,28,16,3,8,0,8,0.4285714285714286,0.15789473684210525,7,12,6,0,1,0.75,0.631578947368421
kojimaarai,0405,19,47,17,2,8,2,7,0.6382978723404256,0.10526315789473684,10,9,6,2,2,0.7872340425531915,0.47368421052631576
komachiya,0405,19,38,16,3,9,0,7,0.5789473684210527,0.15789473684210525,7,12,5,0,2,0.8157894736842105,0.631578947368421
kubota,0405,19,34,16,3,13,0,3,0.5294117647058824,0.15789473684210525,10,9,10,0,0,0.7058823529411764,0.47368421052631576
kyusojin,0405,19,49,15,4,10,0,5,0.6938775510204082,0.21052631578947367,10,9,8,0,2,0.7959183673469388,0.47368421052631576
matsuda,0405,19,30,18,1,9,1,8,0.4,0.05263157894736842,10,9,8,1,1,0.6666666666666667,0.47368421052631576
okumura,0405,19,40,13,6,5,1,7,0.675,0.3157894736842105,5,14,3,0,2,0.875,0.7368421052631579
ozawa,0405,19,42,16,3,6,1,9,0.6190476190476191,0.15789473684210525,8,11,5,1,2,0.8095238095238095,0.5789473684210527
takeoka,0405,19,34,17,2,13,0,4,0.5,0.10526315789473684,10,9,9,0,1,0.7058823529411764,0.47368421052631576
kaneko,0406,18,49,15,3,5,2,8,0.6938775510204082,0.16666666666666666,11,7,5,2,4,0.7755102040816326,0.3888888888888889
katagiri,0406,18,30,16,2,6,2,8,0.4666666666666667,0.1111111111111111,10,8,5,2,3,0.6666666666666667,0.4444444444444444
kojimaarai,0406,18,31,14,4,6,2,6,0.5483870967741935,0.2222222222222222,10,8,5,2,3,0.6774193548387097,0.4444444444444444
komachiya,0406,18,26,12,6,3,2,7,0.5384615384615384,0.3333333333333333,8,10,2,2,4,0.6923076923076923,0.5555555555555556
kubota,0406,18,25,15,3,5,3,7,0.4,0.16666666666666666,9,9,4,2,3,0.64,0.5
kyusojin,0406,18,36,16,2,6,2,8,0.5555555555555556,0.1111111111111111,10,8,5,2,3,0.7222222222222222,0.4444444444444444
matsuda,0406,18,34,16,2,6,2,8,0.5294117647058824,0.1111111111111111,11,7,5,2,4,0.6764705882352942,0.3888888888888889
okumura,0406,18,23,15,3,6,2,7,0.34782608695652173,0.16666666666666666,9,9,4,2,3,0.6086956521739131,0.5
ozawa,0406,18,57,14,4,6,2,6,0.7543859649122807,0.2222222222222222,7,11,2,2,3,0.8771929824561404,0.6111111111111112
takeoka,0406,18,21,12,6,4,2,6,0.4285714285714286,0.3333333333333333,8,10,3,2,3,0.6190476190476191,0.5555555555555556
kaneko,0407,17,45,11,6,7,2,2,0.7555555555555555,0.35294117647058826,9,8,6,2,1,0.8,0.47058823529411764
katagiri,0407,17,30,11,6,7,2,2,0.6333333333333333,0.35294117647058826,8,9,6,2,0,0.7333333333333334,0.5294117647058824
kojimaarai,0407,17,27,12,5,7,3,2,0.5555555555555556,0.29411764705882354,10,7,7,3,0,0.6296296296296297,0.4117647058823529
komachiya,0407,17,42,11,6,8,1,2,0.7380952380952381,0.35294117647058826,10,7,7,1,2,0.7619047619047619,0.4117647058823529
kubota,0407,17,29,12,5,9,1,2,0.5862068965517242,0.29411764705882354,10,7,9,1,0,0.6551724137931034,0.4117647058823529
kyusojin,0407,17,32,12,5,8,1,3,0.625,0.29411764705882354,10,7,8,1,1,0.6875,0.4117647058823529
matsuda,0407,17,35,12,5,9,1,2,0.6571428571428571,0.29411764705882354,9,8,8,1,0,0.7428571428571429,0.47058823529411764
okumura,0407,17,41,13,4,8,1,4,0.6829268292682926,0.23529411764705882,8,9,6,1,1,0.8048780487804879,0.5294117647058824
ozawa,0407,17,37,13,4,6,2,5,0.6486486486486487,0.23529411764705882,5,12,2,1,2,0.8648648648648649,0.7058823529411765
takeoka,0407,17,27,13,4,9,2,2,0.5185185185185186,0.23529411764705882,11,6,8,3,0,0.5925925925925926,0.35294117647058826
kaneko,0408,11,36,11,0,10,0,1,0.6944444444444444,0.0,9,2,9,0,0,0.75,0.18181818181818182
katagiri,0408,11,32,11,0,11,0,0,0.65625,0.0,11,0,11,0,0,0.65625,0.0
kojimaarai,0408,11,38,11,0,11,0,0,0.7105263157894737,0.0,11,0,11,0,0,0.7105263157894737,0.0
komachiya,0408,11,31,11,0,10,0,1,0.6451612903225806,0.0,9,2,9,0,0,0.7096774193548387,0.18181818181818182
kubota,0408,11,30,11,0,11,0,0,0.6333333333333333,0.0,11,0,11,0,0,0.6333333333333333,0.0
kyusojin,0408,11,50,10,1,9,1,0,0.8,0.09090909090909091,10,1,9,1,0,0.8,0.09090909090909091
matsuda,0408,11,37,11,0,9,1,1,0.7027027027027026,0.0,10,1,9,1,0,0.7297297297297297,0.09090909090909091
okumura,0408,11,36,11,0,10,1,0,0.6944444444444444,0.0,11,0,10,1,0,0.6944444444444444,0.0
ozawa,0408,11,40,9,2,8,1,0,0.775,0.18181818181818182,8,3,7,1,0,0.8,0.2727272727272727
takeoka,0408,11,29,11,0,11,0,0,0.6206896551724138,0.0,11,0,11,0,0,0.6206896551724138,0.0
kaneko,0409,16,31,13,3,9,1,3,0.5806451612903225,0.1875,10,6,9,0,1,0.6774193548387097,0.375
katagiri,0409,16,23,12,4,8,1,3,0.4782608695652174,0.25,8,8,7,0,1,0.6521739130434783,0.5
kojimaarai,0409,16,26,13,3,9,1,3,0.5,0.1875,9,7,8,0,1,0.6538461538461539,0.4375
komachiya,0409,16,32,12,4,8,1,3,0.625,0.25,9,7,7,0,2,0.71875,0.4375
kubota,0409,16,27,14,2,9,1,4,0.4814814814814815,0.125,12,4,8,1,3,0.5555555555555556,0.25
kyusojin,0409,16,33,13,3,11,1,1,0.6060606060606061,0.1875,11,5,8,0,3,0.6666666666666667,0.3125
matsuda,0409,16,27,13,3,9,1,3,0.5185185185185186,0.1875,10,6,9,0,1,0.6296296296296297,0.375
okumura,0409,16,33,12,4,8,1,3,0.6363636363636364,0.25,8,8,7,0,1,0.7575757575757576,0.5
ozawa,0409,16,36,13,3,9,1,3,0.6388888888888888,0.1875,9,7,8,0,1,0.75,0.4375
takeoka,0409,16,29,14,2,9,1,4,0.5172413793103448,0.125,10,6,8,1,1,0.6551724137931034,0.375
kaneko,0410,19,32,11,8,8,1,2,0.65625,0.42105263157894735,9,10,8,0,1,0.71875,0.5263157894736842
katagiri,0410,19,50,14,5,6,2,6,0.72,0.2631578947368421,10,9,6,1,3,0.8,0.47368421052631576
kojimaarai,0410,19,58,14,5,10,1,3,0.7586206896551724,0.2631578947368421,12,7,9,1,2,0.7931034482758621,0.3684210526315789
komachiya,0410,19,42,16,3,10,1,5,0.6190476190476191,0.15789473684210525,7,12,6,0,1,0.8333333333333334,0.631578947368421
kubota,0410,19,20,9,10,6,1,2,0.55,0.5263157894736842,7,12,6,0,1,0.65,0.631578947368421
kyusojin,0410,19,30,12,7,6,1,5,0.6,0.3684210526315789,8,11,4,2,2,0.7333333333333334,0.5789473684210527
matsuda,0410,19,29,12,7,5,2,5,0.5862068965517242,0.3684210526315789,8,11,4,3,1,0.7241379310344828,0.5789473684210527
okumura,0410,19,47,15,4,8,2,5,0.6808510638297872,0.21052631578947367,11,8,6,2,3,0.7659574468085106,0.42105263157894735
ozawa,0410,19,39,12,7,5,1,6,0.6923076923076923,0.3684210526315789,8,11,5,1,2,0.7948717948717949,0.5789473684210527
takeoka,0410,19,38,15,4,9,2,4,0.6052631578947368,0.21052631578947367,13,6,8,2,3,0.6578947368421053,0.3157894736842105
kaneko,0411,21,47,18,3,12,1,5,0.6170212765957447,0.14285714285714285,14,7,10,1,3,0.7021276595744681,0.3333333333333333
katagiri,0411,21,30,16,5,7,2,7,0.4666666666666667,0.23809523809523808,11,10,7,2,2,0.6333333333333333,0.47619047619047616
kojimaarai,0411,21,28,15,6,8,1,6,0.4642857142857143,0.2857142857142857,10,11,8,1,1,0.6428571428571428,0.5238095238095238
komachiya,0411,21,48,13,8,7,1,5,0.7291666666666667,0.38095238095238093,10,11,6,1,3,0.7916666666666666,0.5238095238095238
kubota,0411,21,37,17,4,10,2,5,0.5405405405405406,0.19047619047619047,11,10,9,2,0,0.7027027027027026,0.47619047619047616
kyusojin,0411,21,57,16,5,10,0,6,0.7192982456140351,0.23809523809523808,10,11,9,0,1,0.8245614035087719,0.5238095238095238
matsuda,0411,21,34,15,6,10,1,4,0.5588235294117647,0.2857142857142857,10,11,8,1,1,0.7058823529411764,0.5238095238095238
okumura,0411,21,50,16,5,7,1,8,0.6799999999999999,0.23809523809523808,9,12,5,1,3,0.8200000000000001,0.5714285714285714
ozawa,0411,21,46,15,6,5,2,8,0.6739130434782609,0.2857142857142857,8,13,2,2,4,0.8260869565217391,0.6190476190476191
takeoka,0411,21,31,15,6,6,1,8,0.5161290322580645,0.2857142857142857,12,9,6,1,5,0.6129032258064516,0.42857142857142855
kaneko,0412,19,71,19,0,12,1,6,0.7323943661971831,0.0,14,5,11,1,2,0.8028169014084507,0.2631578947368421
katagiri,0412,19,41,19,0,12,1,6,0.5365853658536586,0.0,13,6,12,1,0,0.6829268292682926,0.3157894736842105
