: | 
01:000108 | 花のちることやわひしき春霞立田の山の鴬のこゑ
01:000298:0015 A00 BG-08-0061-04-0100 61 と と と と と 
01:000298:0016 A00 BG-02-1552-01-0100 47 ちる 散る ちる 散る ちる 
01:000298:0017 A00 BG-09-0010-02-0103 74 らめ らむ らむ らめ らめ 
01:000300 | 神なひの山を過行秋なれは龍田川にそぬさはたむくる
01:000300:0001 A00 CH-29-0000-00-1300 11 神なひ 神奈備 かむなび 神奈備 かむなび 
01:000300:0001 A10 CH-29-0000-00-1303 11 神なひ 神奈備 かむなび 神奈備 かむなび 
01:000300:0002 A00 BG-08-0061-07-0100 61 の の の の の 
01:000300:0003 A00 BG-01-5240-05-0100 02 山 山 やま 山 やま 
01:000300:0004 A00 BG-08-0061-10-0100 61 を を を を を 
01:000300:0005 A00 BG-02-1525-01-0100 47 過 過ぐ すぐ 過ぎ すぎ 
01:000300:0005 A10 BG-02-1600-01-0300 47 過 過ぐ すぐ 過ぎ すぎ 
01:000300:0005 A20 BG-02-1900-05-0100 47 過 過ぐ すぐ 過ぎ すぎ 
01:000300:0006 A00 BG-02-1527-03-0101 47 行 行く ゆく 行く ゆく 
01:000300:0007 A00 BG-01-1624-04-0100 02 秋 秋 あき 秋 あき 
01:000300:0008 A00 BG-09-0010-02-0700 74 なれ なり なり なれ なれ 
01:000300:0008 A10 BG-09-0050-01-0100 74 なれ なり なり なれ なれ 
01:000300:0009 A00 BG-08-0064-26-0100 64 は ば ば ば ば 
01:000300:0010 D00 CH-29-5250-01-0400 11 龍田川 龍田川 たつたがは 龍田川 たつたがは 
01:000300:0010 E00 CH-29-0000-00-1800 11 立田 立田 たつた 立田 たつた 
01:000300:0010 E01 BG-08-0071-01-0100 71 の の の の の 
01:000300:0010 E02 BG-01-5250-01-0102 02 川 川 かは 川 かは 
01:000300:0011 A00 BG-08-0061-05-0100 61 に に に に に 
01:000300:0012 A00 BG-08-0065-05-0100 65 そ ぞ ぞ ぞ ぞ 
01:000300:0012 A10 BG-08-0065-12-0100 65 そ ぞ ぞ ぞ ぞ 
01:000300:0013 A00 BG-01-4500-02-1700 02 ぬさ 幣 ぬさ 幣 ぬさ 
01:000300:0014 A00 BG-08-0065-07-0100 65 は は は は は 
01:000300:0015 B00 BG-02-3770-04-0800 47 たむくる 手向く たむく 手向くる たむくる 
01:000300:0015 C00 BG-01-5730-02-0100 02 手 手 て 手 て 
01:000300:0015 C01 BG-02-1700-01-0400 47 向ける 向ける むける 向ける むける 
01:000302 | もみちはのなかれさりせは立田川水の秋をはたれかしらまし
01:000302:0001 B00 BG-01-5530-10-0305 02 もみちは 紅葉葉 もみぢば 紅葉葉 もみぢば 
01:000302:0001 C00 BG-01-5530-10-0300 02 紅葉 紅葉 もみじ 紅葉 もみじ 
01:000302:0001 C01 BG-01-5530-09-0100 02 葉 葉 は 葉 は 
01:000302:0002 A00 BG-08-0061-07-0100 61 の の の の の 
01:000302:0003 A00 BG-02-1523-06-0102 47 なかれ 流る ながる 流れ ながれ 
01:000302:0004 A00 BG-03-1200-02-0800 74 さり ず ず ざり ざり 
01:000302:0004 A10 BG-09-0010-01-0100 74 さり ず ず ざり ざり 
01:000302:0005 A00 BG-09-0010-04-0200 74 せ き き せ せ 
01:000302:0006 A00 BG-08-0064-26-0100 64 は ば ば ば ば 
01:000302:0007 D00 CH-29-5250-01-0400 11 立田川 立田川 たつたがは 立田川 たつたがは 
01:000302:0007 E00 CH-29-0000-00-1800 11 立田 立田 たつた 立田 たつた 
01:000302:0007 E01 BG-08-0071-01-0100 71 の の の の の 
01:000302:0007 E02 BG-01-5250-01-0102 02 川 川 かは 川 かは 
01:000302:0008 A00 BG-01-5130-03-0201 02 水 水 みづ 水 みづ 
01:000302:0009 A00 BG-08-0061-07-0100 61 の の の の の 
01:000302:0010 A00 BG-01-1624-04-0100 02 秋 秋 あき 秋 あき 
01:000302:0011 A00 BG-08-0061-10-0100 61 を を を を を 
01:000302:0012 A00 BG-08-0065-07-0100 65 は は は は は 
01:000302:0013 A00 BG-01-2000-06-0100 14 たれ 誰 たれ 誰 たれ 
01:000302:0014 A00 BG-08-0065-14-0400 65 か か か か か 
01:000302:0015 A00 BG-02-3060-07-0100 47 しら 知る しる 知ら しら 
01:000302:0016 A00 BG-03-3012-03-2500 74 まし まし まし まし まし 
01:000302:0016 A10 BG-09-0010-02-0500 74 まし まし まし まし まし 
01:000311 | としことに紅葉はなかす龍田川みなとや秋のとまり成らん
01:000311:0001 A00 BG-01-1630-01-0100 02 とし 年 とし 年 とし 
01:000311:0001 A10 BG-01-1911-03-1800 02 とし 年 とし 年 とし 
